time 0.101823 e_balance 1.10995e-16 
x y z cell_char_length e p radE rho temperature u v w 
0 0 0.675 0.01 2.68223 0.246581 0.645794 0.229828 2.68223 0 0 0.775346 
0 0 0.685 0.01 2.11941 0.117863 0.362633 0.139028 2.11941 0 0 0.13994 
0 0 0.695 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.705 0.01 2 0.1 0.219523 0.125 2 0 0 -5.08651e-17 
0 0 0.715 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.725 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.735 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.745 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.755 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.765 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.775 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.785 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.795 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.805 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.815 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.825 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.835 0.01 2 0.1 0.219523 0.125 2 0 0 -5.08651e-17 
0 0 0.845 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.855 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.865 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.875 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.885 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.895 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.905 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.915 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.925 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.935 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.945 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.955 0.01 2 0.1 0.219523 0.125 2 0 0 -5.08651e-17 
0 0 0.965 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.975 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.985 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
0 0 0.995 0.01 2 0.1 0.219523 0.125 2 0 0 1.57482e-17 
