x y z Cv cell_char_length e gamma p radE rho temperature u v w 
0 0 0.0005 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0015 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0025 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0035 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0045 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0055 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0065 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0075 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0085 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0095 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0105 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0115 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0125 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0135 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0145 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0155 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0165 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0175 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0185 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0195 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0205 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0215 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0225 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0235 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0245 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0255 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0265 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0275 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0285 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0295 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0305 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0315 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0325 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0335 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0345 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0355 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0365 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0375 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0385 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0395 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
0 0 0.0405 0.144728 0.001 0.0144728 1.66667 0.00964853 1.37224e-06 1 0.1 -1.07196e-15 0 0.380431 
